,Unnamed: 0,Unnamed: 0.1,_merge,anios_de_experiencia,cambio_de_residencia,cantidad_de_vacantes,date,departamento,descripcion,disponibilidad_viajes,edad,educacion_minima,empresa,fecha_online,idiomas,jornada,licencia_conducir,localidad,puesto,rama_de_actividad,salario,sexo,tamanio_empresa,tipo_de_contrato,url_oferta
0,0,0.0,,, No,,2/17/2020,,"Recepcion, clasificacion y reparto de la mensajeria.Minimo 6 meses de experiencia.Radicar en Playa del CarmenLicencia de motociclista.Ofrecemos:Sueldo basePrestaciones de leyUniformeServicio de comedor.", No, entre 18 y 25 anos, Educacion media superior -Bachillerato General,LAS HELODIAS,13 enero,,Contrato por tiempo indeterminado,,Quintana Roo,vendedor de mostrador turno vespertino en plaza cuautitlan - a cinco min del suburbano cuautitlan,Venta al consumidor,,,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-mensajero-administrativo-en-solidaridad-563809BBB12AD92A61373E686DCF3405
1,1,1.0,,1.0, No,,2/17/2020,,"Grupo AB, Socio Comercial de MetLife la aseguradora #1 a nivel mundial estamos buscamos personas dinamicas, activas, acostumbradas a trabajar bajo objetivos, comisiones y en campo.Ofrecemos: Capacitacion constante, contamos con el mejor plan de carrera e ingresos superiores al promedio; bonos, incentivos, convenciones nacionales e internacionales; horario flexible apoyo economico garantizado durante la fase de capacitacion.Requisitos:Sexo indistintoEdad de 25 a 45 anosFacilidad de palabra, estudios minimos: bachillerato comprobable (certificado original), experiencia en venta de campo de preferencia servicios financieros (Seguros, Afores, Creditos, Hipotecas).", No, entre 22 y 55 anos, Educacion media superior -Bachillerato General,Metlife,14 febrero,,Otro tipo de contrato,,Veracruz,Ayudante de almacen para Lerma - Experiencia mínima de 6 meses,Servicios Profesionales,,,"501-1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-agente-de-seguros-en-boca-del-rio-439A4F225290066F61373E686DCF3405
2,2,2.0,,1.0, No,,2/17/2020,,"Evolucione, expertos vinculando talentos con los mejores puestosImportante empresa lider en su ramo te invita a formar parte de su equipo de trabajo como:Promotor de AutoservicioRequisitos:Edad: 18  40 anosEscolaridad: Secundaria terminada  Experiencia: 6 meses en el puesto   Conocimientos: Reportes diarios, plano gramas, inventarios, acomodo de mercancia Habilidades: N/A Sueldo mensual: $7000 brutos  + bonificaciones atractivasTipo de prestaciones: Prestaciones de leyContacto:Guillermo Gandara Sanchez ggandara @ evolucione.netEste servicio es gratuito, sin discriminacion o distincion por ningun motivo. No trabajaras mas alla de cien kilometros.Registro: STPS-ACT-CGP21-00032", Si, entre 18 y 40 anos, Educacion secundaria,Evolucione,13 febrero,,Contrato por tiempo indeterminado, A ,Baja California,Reclutador - Reclutador,RRHH / Personal,"$ 7.000,00 (Mensual)",,"501-1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-promotor-de-autoservicio-en-tijuana-731D04575C1D944A61373E686DCF3405
3,3,3.0,,4.0, No,,2/17/2020,,"Si buscas un nuevo reto donde puedas desarrollarte, existe una oportunidad para ti.Salud Digna solicita: Tecnico RadiologoTe gusta la atencion y servicio al paciente?, cuentas con experiencia en la elaboracion de historial y expediente del paciente, rayos x, y mastografia?Requisitos:Escolaridad: Tecnico Radiologo (Indispensable contar con titulo y cedula, no en proceso).Buena presentacionFacilidad de palabraDisponibilidad de horarioCompetencias y habilidades:DinamicoOrientado al servicioEnfocado a resultadosOfrecemos: Prestaciones de Ley + Uniformes gratuitos + Seguro de Vida + Caja de Ahorro + 50% de descuento en servicios para familiares directos", No, entre 22 y 45 anos, Educacion media superior - Bachillerato Tecnologico,"Salud Digna Para Todos, I.A.P.",14 febrero,,Contrato por tiempo indeterminado,,Campeche,Vendedoras Vip para Plaza Altabrisa - Secundaria,Salud / Medicina,"$ 9.000,00 (Mensual)",,"501-1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-en-radiologia-en-campeche-B86392BCA23A353E61373E686DCF3405
4,4,4.0,,2.0, No,,2/17/2020,,"Empresa dedicada a la fabricacion de globos metalicos.FuncionesCompras generalesRequisitos:Licenciatura concluida en administracion de empresas, ingenieria industrial o afin. Experiencia minimo 2 anos y medio en puesto similar. Ingles intermedio - avanzadoManejo de excel intermedioSAP (modulo compras)Ofrecemos$17,000 menos impuestosPrestaciones de ley.Horario de 9 a 6 de lunes a viernes y un sabado de cada mes de 9 a 12:30Zona de trabajo Rio la barca (por parque Gonzalez Gallo)", No, A partir de 25 anos, Educacion superior - Licenciatura,GENTEX,12 febrero," Ingles , ",Contrato por tiempo indeterminado,,Jalisco,Se solicita Gerente de Ventas en Sucursal  - Paseo Gomez Palacios / Durango ,RRHH / Personal,"$ 17.000,00 (Mensual)",,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-comprador-urgente-parque-gonzalez-gallo-en-guadalajara-5076B8381636122461373E686DCF3405
5,5,5.0,,1.0, No,,2/17/2020,,"Empresa de giro Restaurantero con presencia en el noroeste del pais con 24 sucursales, tiene un lugar para ti.ESTA EN BUSQUEDA DE SUBGERENTE DE SUCURSALsi has tenido experiencia en el GIRO esta puede ser tu oportunidad ActividadesAtencion al clienteManejo de inventariosManejo de cortes de cajaPreparacion de alimentosAtencion a proveedoresManejo de personalOfrecemosSueldo semanal $2100Prestaciones de leyUn consumo diarioEstabilidad laboralOportunidad de crecimientoCapacitaron constanteBuen ambiente laboral", Si, entre 26 y 40 anos, Educacion superior - Licenciatura,Bamboo Express,12 febrero,,Contrato por tiempo indeterminado,,Sonora,Estibador - Agencia Tultitlán,Venta al consumidor,"$ 9.000,00 (Mensual)",,201-500 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-encargado-comida-rapida-en-hermosillo-5517F08E5E0A0BC961373E686DCF3405
6,6,6.0,,1.0, No,,2/17/2020,,"Porque queremos lo mejor para ti, Grupo Salinas es tu mejor opcion!*** Promotor de Servicios Bancarios ***Solicitamos personal para:-Promocion de producto-Atencion a clientes-VentasRequisitos:- Bachillerato concluido con certificado en original.- Cumplimiento de objetivos.- Experiencia de 1 ano en ventas.- Excelente actitud de servicio.Ofrecemos:-Pago semanal-Excelentes comisiones-Prestaciones de ley-Beneficios Grupo SalinasPostulate por este medio o envia WhatsApp al numero que aparece en la publicacion en atencion a Lic. Raul Islas!", No,, Educacion media superior -Bachillerato General,BANCO AZTECA,11 febrero,,Contrato por tiempo indeterminado,,Estado de México,Ejecutivo de ventas telefonicas con sueldo base - Para labora 5 horas diarias/ turno vespertino,Finanzas / Banca,,,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-grupo-salinas-solicita--promotor-de-servicios-bancarios-en-zumpango-60F91D278434858661373E686DCF3405
7,7,7.0,,2.0, No,,2/17/2020,,"Ayudantes Generales/  Ambos sexos / Rol de TurnosREQUISITOS:Edad: 18 a 50 anosEscolaridad: Secundaria Vivir cerca de la zona de Atizapan de ZaragozaDisponibilidad para rolar turnos y trabajar tiempo extra ACTIVIDADES A REALIZAR:ManualidadesPegarArmarRecibir productoAmarrarEstibarMantener orden y limpieza en el area de trabajoOFRECEMOS:$4, 588.00Prestaciones de ley ComedorVales de despensaCaja de ahorroPremio de puntualidad18 dias de aguinaldo8 dias de vacaciones60 % prima vacacionalInteresados presentarse en Lago Azul # 15 Col Higuera. Atizapan de Zaragoza. CP. 52940Tel 58 24 51 50 Ext. 1106 Horario de entrevista: 9:00 a 12:30 y 15:00 a 17:30 hrs. Presentar solicitud de empleo e identificacion y toda su documentacion oficial en copia.", No, entre 18 y 50 anos, Educacion secundaria,Industrias Corrubox SA de CV,12 febrero,,Contrato por tiempo indeterminado,,Estado de México,Becario de producción turno matutino  - Zona El salto ,Fabricación,"$ 4.588,00 (Mensual)",,201-500 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-ayudantes-generales-rol-de-turnos-atizapan-de-zaragoza-en-atizapan-de-zaragoza-D52F44E8E3C4B91261373E686DCF3405
8,8,8.0,,1.0, No,,2/17/2020,,"Empresa en crecimiento esta buscando tu talento, si tienes gusto por las ventas es tu oportunidad. Forma parte de una empresa lider en el sector. Estamos buscando:***EJECUTIVO DE VENTAS CORPORATIVAS****COMISIONES + BONOS + PAGO SEMANAL + PREMIOS + INCENTIVOSCONTRATACION INMEDIATA!!!Experiencia en:Minima de seis meses en ventas, venta de seguros, afores, autos, Telemarketing, modulos, promotor.Bachillerato concluidoOFRECEMOS:	Pago semanal y puntual	Excelentes comisiones sin tope	Incentivos por venta en efectivo	Capacitacion pagada	Atractivos bonos semanales, premios	Ganancias semanales	Excelente ambiente laboral y flexibilidad de horarios	Oportunidad de crecimiento POSTULATE POR ESTE MEDIO", No, entre 25 y 65 anos, Educacion media superior -Bachillerato General,GAYOSSO,"Ayer, 11:04 p. m.",,Contrato por tiempo indeterminado,,Ciudad de México DF,encargado de sucursal  - oxkutzcab ,Venta al consumidor,"$ 14.000,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-corporativas-sur-cdmx-en-la-magdalena-contreras-B33F0EF3F1819C0961373E686DCF3405
9,9,9.0,,, No,,2/17/2020,,"EJECUTIVO DE VENTAS CORPORATIVAS/ COMISIONES SIN TOPEEMPRESA LIDER EN SU RAMO, SOLICITA PERSONAL PARA EL AREA DE VENTAS.VEN CON NOSOTROS Y SE PARTE DE UNA DE LAS MEJORES EMPRESAS EN DONDE SE TE PREMIA DIA CON DIA TU LABOR!!!REQUISITOS:	BACHILLERATO	EXPERIENCIA MINIMA DE 6 MESES A UN ANO EN VENTAS	CAPACIDAD DE NEGOCIACION	GUSTO POR LOS RETOS Y EL TRATO CON LA GENTEOFRECEMOS:	COMISIONES SIN TOPE	INGRESOS SUPERIORES A 25,000	PAGOS SEMANALES	PRESTACIONES DE LEY Y SUPERIORES	EXCELENTE AMBIENTE DE TRABAJO	ESTABILIDAD LABORAL	CAPACITACION CONSTANTE	BONOS POR PRODUCTIVIDAD	PREMIOS E INCENTIVOS POR TU ESFUERZO 	SEGURO DE GASTOS MEDICOS 	SEGURO DE VIDA HORARIO LABORAL LUNES A VIERNES DE TIEMPO COMPLETO Y SABADO MEDIO DIASI ESTAS INTERESADO SOLO DEBES POSTULARTE POR ESTE MEDIO Y EN BREVEDAD NOS PONDREMOS EN CONTACTO CONTIGO", No, A partir de 25 anos, Educacion media superior -Bachillerato General,GAYOSSO,15 febrero,,Contrato por tiempo indeterminado,,Ciudad de México DF,Supervisor de Seguridad - con almenos dos años de experiencia,Venta al consumidor,"$ 15.000,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-trabaja-en-el-corporativopagos-semanales-en-coyoacan-A766587AAC60745661373E686DCF3405
10,10,10.0,,, No,,2/17/2020,,"Conocimiento en equipos de impresion, alto y mediano volumen, buena presentacion, puntualidad buen trato con el cliente, control de inventarios, excelente puntualidad y compromiso.", No, entre 19 y 55 anos, Educacion media superior - Educacion Profesional T,Perfect Company,12 febrero,,Contrato por tiempo indeterminado,,Coahuila,Almacenistas ,RRHH / Personal,"$ 5.000,00 (Mensual)",,1-10 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-agente-soporte-tecnico-en-informatica-o-afin-en-piedras-negras-B732238BAEEE452F61373E686DCF3405
11,11,11.0,,1.0, No,,2/17/2020,,Unete a nuestra gran equipo de trabajo!!!MICRONEGOCIO AZTECA  Suc LAZARO CARDENAS Solicita:Asesor de credito grupalACTIVIDADES:         Visita de clientes en campo         Gestion a pagos puntuales (no se maneja efectivo)         Colocacion de creditos.         Renovacion de creditos. REQUISITOSPreparatoria terminadaManejo de motocicletaExperiencia con atencion a clientesFacilidad de palabra BENEFICIOSSalario base semanalExcelentes comisionesPrestaciones de leyMotocicleta (vales de gasolina)Contratacion Inmediata, No, entre 22 y 40 anos, Educacion media superior -Bachillerato General,BANCO AZTECA,14 febrero, Espanol ,Contrato por tiempo indeterminado, A ,Michoacán,Supervisor de Sucursales - Farmaceutica,Finanzas / Banca,,,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-credito-grupal-supervision-en-campo-manejo-de-motocicleta-en-lazaro-cardenas-E8AA22B95E9C1E0F61373E686DCF3405
12,12,12.0,,2.0, No,,2/17/2020,,"Venta seguros: Vida, Gastos Medicos, Auto y Casa Hogar, tanto individuales como Empresariales.El Asesor Profesional en Seguros, intermedia productos tanto para las familias como las empresas, tiene el beneficio de disfrutar su tiempo y combinarlo inclusive con otras actividades. Ofrecemos: - Capacitacion constante - Las mejores comisiones del sector- Bonos Mensuales y Trimestrales por logros de acuerdo a metas - Premios y Convenciones tanto Nacionales como Extranjeras de acuerdo a metas faciles de alcanzar Requisitos: - Edad de 25 A 60 anos - Escolaridad: Licenciatura, minimo Preparatoria concluida (Comprobable, NO carreras tecnicas)  -Necesidad de Ingresos Mensuales minimo de $25,000 Mensuales - Disponibilidad Inmediata", No, entre 28 y 60 anos, Educacion superior - Licenciatura,JULMEN CONSULTORES SC,5 febrero,,Otro tipo de contrato, A ,Ciudad de México DF,Analista de Compras - Haber trabajado en empresas transnacionales,Finanzas / Banca,,,11-50 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-agente-profesional-de-seguros-en-alvaro-obregon-F4E2601B699ACD5461373E686DCF3405
13,13,13.0,,2.0, No,,2/17/2020,,"Importante empresa de tecnologia y telecomunicaciones por expansion solicitaCHOFER ALMACENISTAOFRECEMOS-Sueldo base 7000 a 7500 m/s-Prestaciones de ley-Crecimiento laboralUNICOS REQUISITOS-Experiencia de 1 ano en adelante como chofer-Licencia vigente-Conocimiento en entrega de materiales, embarques, inventarios,-Secundaria en adelantePRINCIPALES FUNCIONES-Logistica de recepcion -Entrega de mercancia a clientes-Embarques-Acomodo de mercancia-Limpieza en almacen HORARIOLunes a Sabado de 08:30 a 06:00ZONA A LABORARMonterrey, CentroSi cubres con el perfil hazme llegar tu CV por este medio o al correo que aparece en la publicacion.Informes al 5535206686 en atencion con Lic. Marisol  Garcia.", No,, Educacion secundaria,Entorno Corporativo y Empresarial S. C.,14 febrero,,Contrato por tiempo indeterminado, A ,Nuevo León,Chofer Repartidor - cargador,Servicios Profesionales,"$ 7.000,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-chofer-7-5-0-0-0-mensuales--en-monterrey-8261B7AE6F7C1D0061373E686DCF3405
14,14,14.0,,, No,,2/17/2020,,OPERADOR/A DE COSTURACONTRATACION INMEDIATARequisitos:Edad: desde 20 a 50 anosSecundaria concluidaExperiencia: Manejo de maquina de costura recta/overOfrecemos:Sueldo Base 5000 libresPrestaciones de leyPrestaciones Superiores INFORMES: Comunicarse con Miguel Quiroz al Cel. 5611090093, No, entre 20 y 50 anos, Educacion secundaria,,14 febrero,,Contrato por tiempo indeterminado,,Estado de México,Inventarista - Experiencia en tiendas Retail,,"$ 5.000,00 (Mensual)",,,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-operadora-de-costura-atizapan-de-zaragoza-en-atizapan-de-zaragoza-E0F3FE037FF64DEC61373E686DCF3405
15,15,15.0,,1.0, No,,2/17/2020,,"Banco FAMSA solicita:VENDEDOR DE ELECTRONICA, LINEA BLANCA Y MUEBLESContamos con las mejores marcas y disenos de muebles y articulos para el hogar que te dan la oportunidad de ofrecer alternativas de compra y Ganar Mas.REQUISITOS:Escolaridad:Secundaria Terminada.Experiencia: Minimo 6 meses como vendedor de preferencia electrodomesticos o muebles.SUCURSALES DISPONIBLES: AGRICOLA ORIENTAL / PANTITLAN / GUSTAVO BAZ / PLAZA ORIENTE / SAN VICENTE CHICOLOAPAN / IXTAPALUCA / BORDO DE XOCHIACA / PLAZA TEPOZANOFRECEMOS:Ingresos Superiores a $7,000 pesos Mensuales.Pago semanal (fijo e incentivos).Sueldo Base mas Comisiones (Sin Tope).Contrato directo por la Institucion.Vales de despensa (incrementales).Prestaciones de Ley y Superiores (Aguinaldo, IMSS, Vacaciones, Prima Vacacional, Infonavit, etc.).Bono para Comprar Utiles Escolares (Hijos).Uniforme y CapacitacionAyudas EconomicasExcelente Ambiente de TrabajoOportunidades de crecimiento No lo Pienses Mas y Comprueba que FAMSA es tu Mejor Opcion !Telefono:58.04.04.60 Ext. 144  14518 Y 19 DE FEBRERO ENTREVISTAS EN SUCURSAL PLAZA SENDERO IXTAPALUCA DE 9 AM A 1 PM, LLEVA TU SOLICITUD DE EMPLEO Y TUS DOCUMENTOS BASICOS EN COPIA.CONTRATACION INMEDIATA!Si cubres el perfil acude a las oficinas de Recursos Humanos en Clz. Ermita Iztapalapa #1777 Col. Barrio San Miguel, Del. Iztapalapa, Con solicitud de Empleo o C.V. en un horario de 09:00 am a 13:00 hrs de Lunes a Viernes.WhatsApp. 55 4392-5588", No, entre 21 y 40 anos, Educacion media superior -Bachillerato General,Grupo FAMSA,15 febrero,,Contrato por tiempo indeterminado,,Estado de México,Asesor Corporativo cuentas Issste - lunes a viernes,Venta al consumidor,,,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-promotor-de-electronica-y-muebles-entrevistas-18-y-19-de-febrero-en-ixtapaluca-BB3D9D0F23A1277261373E686DCF3405
16,16,16.0,,, No,,2/17/2020,,"Asesor/a de Credito Grupal- SoLFI  -  POZA RICA, VER.SOLFI es una Institucion Financiera Mexicana en expansion, con 17 anos de experiencia en el sectorActualmente operamos en las principales ciudades del pais y buscamos sumar a nuestro equipo de trabajo personas que tengan ""El valor de crecer"".TE OFRECEMOS:        Pago SEMANAL        Sueldo base Mensual de $5,000.        Excelente esquema de COMISIONES Semanal No topadas        Apoyo de transporte ($256. Semanales)        Vales de despensa $500.        Prestaciones Superiores a las de la Ley, Cotizaciones al IMSS 100%        Uniformes, Capacitacion y Crecimiento laboralREQUISITOS:        Edad: 21 - 50 anos.        Genero: Indistinto        Nivel academico: Preparatoria trunca o secundaria terminada.        Alto interes en ventas, facilidad de palabra, habilidades de negociacion.        Experiencia minima de 1 ano en Ventas y atencion a ClientesACTIVIDADES        Identificar clientes potenciales en la zona asignada.        Promocion, colocacion y recuperacion de creditos grupales.        Dedica el 80% de su tiempo en actividades de campo y el 20% en actividades administrativas en oficina.Horario Laboral de Lunes a viernes de 08:00 am a 06:00 pmTe invitamos a integrarte como: ASESOR DE CREDITO GRUPAL   POZA RICA, VER.Para mayores informes comunicate al Cel. 8131310998 o acude directamente a la Sucursal,1) Calle Cuba # 100B, 1er. Piso, Col. 27 de Septiembre, CP 93320, Poza Rica, Ver.2) Calle 4 Norte y 10 Oriente Num. 041, Col. Obrera, CP 93260, Poza Rica, Ver.solfi . com . mx", No, entre 21 y 50 anos, Educacion media superior -Bachillerato General,Solfi / Credituyo,"Ayer, 06:12 a. m.",,Contrato por tiempo indeterminado,,Veracruz,Supervisor de tráfico  - Zona a laborar Aeropuerto,Finanzas / Banca,,,201-500 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-de-credito-grupal-solfi-poza-rica-ver-en-poza-rica-de-hidalgo-76E1CFE2BE2B063061373E686DCF3405
17,17,17.0,,, No,,2/17/2020,,"Marca lider  en productos  en  Productos  endulzantes      Solicita:                                  Promotor  en Autoservicio         Ruta  Queretaro; Queretaro Requisitos:Sexo: Indistinto Edad: 18 a 45 anos Escolaridad minima: secundaria  INDISPENSABLE: Experiencia minima de 6 meses  como promotor en tiendas de autoservicio.Actividades:  	Rotacion de producto.	Acomodo y limpieza de anaqueles	Levantamiento de pedidos.	Negociacion de espacios adicionales.	Elaboracion de reportes.	Exhibiciones, inventarios, precios.	Colocacion de material POP. 	Atencion al cliente. 	Checar  caducidades precios y etiquetado. Te ofrecemos:Estabilidad laboralVacante FijaSueldo: $6,140  mensualesBono $1,500 mensual  Ayuda de pasajes $300  semanales Viaticos: $ 120 mensual  (Ruta Foranea)Prestaciones de ley.Uniformes Horario: De lunes a sabado de 07:00 am  a 16: 00 horas Telefono: 01800  1111744 0155  50935150 ext. 1308Watss  app.  55 61221817Lic. Javier Hernandez", No, entre 18 y 45 anos, Educacion secundaria,Triple I,14 febrero,,Contrato por tiempo indeterminado,,Querétaro,Especialista en Recliutamiento $8000 - Temporal,RRHH / Personal,,,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-forma-parte-de-una-gran-marca-en-endulzantes--promotores-en-autoservicio--en-queretaro-5B60B25621958DA461373E686DCF3405
18,18,18.0,,,,,2/17/2020,,,,,,,14 febrero,,Contrato por tiempo indeterminado,,Trabajos,Ayudantes General de Bodega - Sucursal Ofix Naucalpan,,,,,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-profesor-de-frances-e-ingles-matutino-en-naucalpan-de-juarez-D91BC0C2874BA69C61373E686DCF3405
19,19,19.0,,, No,,2/17/2020,,"EMPRESA NACIONAL DE BELLEZA CONTRATA para diferentes departamentos de servicio en ASESOR TELEFONICO / MARKETING DIGITAL / RECEPCION / ATENCION EN MODULO:Hombre y(o) Mujer de 20 a 28 anos, solter@s (sin hijos), Buena Presentacion, Actitud de Servicio y Honest@ con disposicion de tiempo y profesionalismo.FUNCIONES: Proporcionar informacion de nuestros diferentes cursos de Belleza, clases de Estilismo y eventos de plataformas que ofrecemos por medio de plataformas digitales (WHATSAPP, FACEBOOK, INSTAGRAM, ETC.); Recepcion de alumn@s, seguimiento de prospectos, recorrido de instalaciones, llamadas de control y prospeccion. (CON O SIN EXPERIENCIA)", No, entre 20 y 28 anos, Educacion media superior -Bachillerato General,Academia de Belleza Reflejos,"Hoy, 08:54 a. m.",,Contrato por tiempo indeterminado,,Puebla,Negociador On Premise,Educación,"$ 7.000,00 (Mensual)",,11-50 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-cliente-asesor-educativo-en-puebla-E0D62FD5D0A2DA2061373E686DCF3405
20,20,20.0,,, No,,2/17/2020,,"EMPRESA NACIONAL DE BELLEZA CONTRATA para diferentes departamentos de servicio en ASESOR TELEFONICO / MARKETING DIGITAL / RECEPCION / ATENCION EN MODULO:Hombre y(o) Mujer de 20 a 28 anos, solter@s (sin hijos), Buena Presentacion, Actitud de Servicio y Honest@ con disposicion de tiempo y profesionalismo.FUNCIONES: Proporcionar informacion de nuestros diferentes cursos de Belleza, clases de Estilismo y eventos de plataformas que ofrecemos por medio de plataformas digitales (WHATSAPP, FACEBOOK, INSTAGRAM, ETC.); Recepcion de alumn@s, seguimiento de prospectos, recorrido de instalaciones, llamadas de control y prospeccion. (CON O SIN EXPERIENCIA)", No, entre 20 y 28 anos, Educacion media superior -Bachillerato General,Academia de Belleza Reflejos,"Hoy, 08:54 a. m.",,Contrato por tiempo indeterminado,,Puebla,Negociador On Premise,Educación,"$ 7.000,00 (Mensual)",,11-50 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-cliente-asesor-educativo-en-puebla-E0D62FD5D0A2DA2061373E686DCF3405
21,21,21.0,,, No,,2/17/2020,,"VEN A CELEBRAR CON NOSOTROS SAN VALENTIN!POR UNICA OCASION, HAZ TODO TU PROCESO DE SELECCION EN UN SOLO DIA!Zona para laboral: NaucalpanSueldo base de 13,000 a 15,000Vales de DESPENSADiversos bonosDescanza 2 dias,Transporte de la empresa a varias estaciones de metroTRAINING PAGADO 100%QUE ESPERAS PARA APLICAR?Requisitos: INGLES AVANZADO CONVERSACIONALUNICO DIA DE ENTREVISTAS 14 DE FEBREROPARA MAS INFORMACION VIA WHATSAPP AL NUMERO 5532888302", No, A partir de 18 anos, Educacion secundaria,Manpower,13 febrero, Ingles ,Contrato por tiempo indeterminado,,Ciudad de México DF,Asesor de Moda - Plazas Outlet / Malecón las Américas,RRHH / Personal,"$ 15.000,00 (Mensual)",,"Más de 1,000 trabajadores",Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-customer-service-en-azcapotzalco-B6C44224B4C57B4E61373E686DCF3405
22,22,22.0,,, No,,2/17/2020,,Importante empresa dedicada a la fabricacion de carton solicita:Aux. AlmacenOfrece:Prestaciones de LeyBonosTurno fijoSueldo semanalHorario de trabajo: Lunes a viernes 08:00 am - 6:00 pmExperiencia en montacargas H/s Lugar de trabajo: San Juan de Ocotan., No, entre 20 y 45 anos, Educacion secundaria,Worken,14 febrero,,Contrato por tiempo indeterminado,,Jalisco,Vendedor de piso - toreo,RRHH / Personal,"$ 6.000,00 (Mensual)",,201-500 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-aux-almacen-lunes-a-viernes-en-zapopan-3872C6CB18D3383D61373E686DCF3405
23,23,23.0,,1.0, No,,2/17/2020,,"Experiencia requerida:Elaboracion de auditorias e inventarios en tiendas y almacenesAudita procesos, cortes de caja, flujos de efectivo, creditos, inventarios fisicos.", Si, A partir de 30 anos, Educacion superior - Licenciatura,,"Hoy, 05:21 a. m.",,Contrato por tiempo indeterminado,,Coahuila,Auxiliar administrativo - Capturista manejo excel,,"$ 6.500,00 (Mensual)",,,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-auditora-en-torreon-E774A1356FADE79161373E686DCF3405
24,24,24.0,,1.0, No,,2/17/2020,,"EMPRESA LIDER EN COMERCIALIZACION DE PRODUCTOS NATURISTAS**GERENTE DE TIENDA AZCAPOTZALCO****SUBGERENTE DE TIENDA AZCAPOTZALCO**Requisitos:Edad: 25 a 45 anos deseableEscolaridad: Minimo bachillerato concluidoExperiencia:  Contar con al menos  1 ano (comprobable) desempenando funciones como apertura y cierre de tienda, supervision de personal, control de inventarios, recepcion y acomodo de mercancia, manejo de caja, arqueos, cortes, depositos, control de merma.Conocimientos: Inventarios, Manejo de efectivo, Supervision de personal, Tecnicas de Venta, Atencion al clienteCompetencias: Enfoque a resultados, Trabajo en equipo, Liderazgo, Apego a Politicas y procedimientos.Ofrecemos:**GERENTE**Sueldo base $7,000 brutos mensual Comisiones por venta $5,000 brutos mensuales (comision garantia los 3 primeros meses)UniformesHorario de trabajo Lunes a Sabado 12:00 pm a 21:00 hrs Domingos descanso**SUBGERENTE**Sueldo base $5,000 brutos mensual Comisiones por venta $4,000 brutos mensuales (comision garantia los 3 primeros meses)UniformesHorario de trabajo Lunes a Sabado 8:30 am - 17:30 hrs Domingos 10:00 am - 19:00 hrs, Martes descansoUniformesPrestaciones  de leyEstabilidad laboralInteresados postularse por este medio o enviar curriculum actualizado con fotografia, mencionando pretensiones economicas al correo electronico que aparece en los datos de la vacante.", No, entre 25 y 45 anos, Educacion media superior -Bachillerato General,"Grupo Empresarial Super Soya, S.A de C.V",15 febrero,,Contrato por tiempo indeterminado,,Ciudad de México DF,Jefe de Tráfico - Sucursal Ofix Naucalpan,Fabricación,"$ 10.000,00 (Mensual)",,51-200 trabajadores,Tiempo Completo,/ofertas-de-trabajo/oferta-de-trabajo-de-gerente-y-subgerente-de-tienda-urgente-azcapotzalco-en-azcapotzalco-EDDE2C69685CB2C261373E686DCF3405
